gene_symbol	ensembl_gene_id	uniprot_id	protein_class	is_secreted	signal_peptide	orf_length_bp
GDF15	ENSG00000130513	Q99988	secreted_growth_factor	True	True	915
GFRAL	ENSG00000187871	Q6UXV0	receptor	False	True	1218
GLP1R	ENSG00000112164	P43220	gpcr	False	True	1383
GIPR	ENSG00000010310	P48546	gpcr	False	True	1554
GCG	ENSG00000115263	P01275	secreted_hormone	True	True	540
LEP	ENSG00000174697	P41159	secreted_hormone	True	True	501
LEPR	ENSG00000116678	P48357	receptor	False	True	3489
MC4R	ENSG00000166603	P32245	gpcr	False	False	999
POMC	ENSG00000115138	P01189	secreted_precursor	True	True	801
NPY	ENSG00000122585	P01303	secreted_neuropeptide	True	True	294
PYY	ENSG00000131096	P10082	secreted_peptide	True	True	291
GHRL	ENSG00000157017	Q9UBU3	secreted_peptide	True	True	351
INS	ENSG00000254647	P01308	secreted_hormone	True	True	333
INSR	ENSG00000171105	P06213	receptor_tyrosine_kinase	False	True	4116
IRS1	ENSG00000169047	P35568	signaling_adapter	False	False	3729
IRS2	ENSG00000185950	Q9Y4H2	signaling_adapter	False	False	4014
ADIPOQ	ENSG00000181092	Q15848	secreted_hormone	True	True	735
ADIPOR1	ENSG00000159346	Q96A54	receptor	False	False	1128
ADIPOR2	ENSG00000006831	Q86V24	receptor	False	False	1158
PPARG	ENSG00000132170	P37231	transcription_factor	False	False	1668
PPARA	ENSG00000186951	Q07869	transcription_factor	False	False	1407
PPARD	ENSG00000112033	Q03181	transcription_factor	False	False	1326
SREBF1	ENSG00000072310	P36956	transcription_factor	False	False	3411
SREBF2	ENSG00000198911	Q12772	transcription_factor	False	False	3417
HNF1A	ENSG00000135100	P20823	transcription_factor	False	False	1923
HNF4A	ENSG00000101076	P41235	transcription_factor	False	False	1395
TCF7L2	ENSG00000148737	Q9NQB0	transcription_factor	False	False	1857
SLC2A4	ENSG00000181856	P14672	transporter	False	False	1530
SLC2A2	ENSG00000163581	P11168	transporter	False	False	1545
PCSK9	ENSG00000169174	Q8NBP7	secreted_protease	True	True	2079
APOC3	ENSG00000110245	P02656	secreted_apolipoprotein	True	True	297
